appData.Currentclue,appData.Final score,appData.FirstAttemptAnswer,appData.NumberofAttempts,appData.SecondAttemptAnswer,appData.event_type,appData.language,appName,buddyIds,createdAt,language,sessionId,userId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत 4,,76.8,2,-106.4,clue_end,hi,AstRoamer_Element_Hunt_Activity,216341,2018-8-25 10:19:2,hi,dwkitij5vepv0hx2s5qo62irhxj9hl1e,216337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत 5,,-170.8,2,106.4,clue_end,hi,AstRoamer_Element_Hunt_Activity,216341,2018-8-25 10:19:42,hi,dwkitij5vepv0hx2s5qo62irhxj9hl1e,216337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत 6,,36.8,2,-146.4,clue_end,hi,AstRoamer_Element_Hunt_Activity,216341,2018-8-25 10:20:37,hi,dwkitij5vepv0hx2s5qo62irhxj9hl1e,216337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत 7,,58,2,-26.8,clue_end,hi,AstRoamer_Element_Hunt_Activity,216341,2018-8-25 10:21:16,hi,dwkitij5vepv0hx2s5qo62irhxj9hl1e,216337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत 8,,-28.4,2,60,clue_end,hi,AstRoamer_Element_Hunt_Activity,216341,2018-8-25 10:21:53,hi,dwkitij5vepv0hx2s5qo62irhxj9hl1e,216337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,session_end,hi,AstRoamer_Element_Hunt_Activity,216341,2018-8-25 10:21:53,hi,dwkitij5vepv0hx2s5qo62irhxj9hl1e,216337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,game_start,hi,AstRoamer_Element_Hunt_Activity,216345,2018-8-25 9:54:2,hi,ql3ngdrl1pis0ab9xnkubwlr8zr265f0,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,game_start,hi,AstRoamer_Element_Hunt_Activity,216345,2018-8-25 9:56:39,hi,ql3ngdrl1pis0ab9xnkubwlr8zr265f0,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत 1,,171.6,2,-166.4,clue_end,hi,AstRoamer_Element_Hunt_Activity,216345,2018-8-25 9:59:31,hi,ql3ngdrl1pis0ab9xnkubwlr8zr265f0,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत 2,,76,2,76,clue_end,hi,AstRoamer_Element_Hunt_Activity,216345,2018-8-25 10:0:16,hi,ql3ngdrl1pis0ab9xnkubwlr8zr265f0,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत  3,,51.2,1,,clue_end,hi,AstRoamer_Element_Hunt_Activity,216345,2018-8-25 10:0:43,hi,ql3ngdrl1pis0ab9xnkubwlr8zr265f0,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत 4,,-58.4,2,-42.8,clue_end,hi,AstRoamer_Element_Hunt_Activity,216345,2018-8-25 10:2:11,hi,ql3ngdrl1pis0ab9xnkubwlr8zr265f0,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
